,bacterium,abundance
0,Lactobacillus,0.9876899304661344
1,Prevotella,0.0032449137265001286
2,Finegoldia,0.001974418405013306
3,Ureaplasma,0.0017683921366640914
4,Peptoniphilus,0.0009442870632672333
6,Mobiluncus,0.0006009099493518757
7,Megasphaera,0.0004978968151772684
8,Aerococcus,0.00046355910378573266
9,Granulicatella,0.00039488368100266117
10,Anaerococcus,0.0003605459696111254
11,Dialister,0.0002575328354365182
12,Corynebacterium,0.00013735084556614301
13,Atopobium,0.00013735084556614301
14,Parvimonas,0.00013735084556614301
15,Streptococcus,0.00013735084556614301
16,Fastidiosipila,0.00010301313417460727
17,Flavobacterium,6.867542278307151e-05
18,Murdochiella,5.1506567087303634e-05
19,Fenollaria,5.1506567087303634e-05
