,bacterium,abundance
0,Lactobacillus,0.9945804273466305
1,Corynebacterium,0.001354893163342366
2,Prevotella,0.0007107636266714051
4,Finegoldia,0.00042201590333614675
5,Staphylococcus,0.0003998045400026654
6,Streptococcus,0.0003109590866687397
7,Peptoniphilus,0.0002665363600017769
8,Brevibacterium,0.0001999022700013327
9,Campylobacter,0.00013326818000088846
10,Flavobacterium,0.00013326818000088846
11,Stenotrophomonas,0.00013326818000088846
12,Pseudopropionibacterium,8.884545333392564e-05
13,Cutibacterium,8.884545333392564e-05
14,Anaerococcus,6.663409000044423e-05
15,Haliangium,4.442272666696282e-05
16,Kocuria,4.442272666696282e-05
17,Limnohabitans,4.442272666696282e-05
18,Polynucleobacter,4.442272666696282e-05
19,Tabrizicola,4.442272666696282e-05
