,bacterium,abundance
0,Lactobacillus,0.7261230538132066
1,Prevotella_7,0.11156446014250046
3,Ureaplasma,0.02435905243286036
4,Actinomyces,0.02397336743600674
5,Finegoldia,0.015163510139455575
6,Enterococcus,0.011144266488033615
7,Streptococcus,0.007145322046972373
8,Flavobacterium,0.0018066297221038103
9,Escherichia-Shigella,0.0013803463045287537
10,Limnohabitans,0.000608976310821509
11,Prevotella,0.000588677100460792
12,Gardnerella,0.00034508657613218843
13,Veillonella,0.0003247873657714715
14,Peptostreptococcus,0.0003247873657714715
15,Staphylococcus,0.0003044881554107545
16,Atopobium,0.0002435905243286036
17,Malikia,0.00022329131396788666
18,Corynebacterium,0.00020299210360716968
19,Polynucleobacter,0.00018269289324645272
