,bacterium,abundance
0,Prevotella,0.4722040243331774
2,Megasphaera,0.1210575573233505
3,Peptoniphilus,0.11352363125877399
4,Parvimonas,0.07295273748245204
5,Dialister,0.020917173607861488
6,Fastidiosipila,0.013804398689751989
7,Lactobacillus,0.013430042115114647
8,Atopobium,0.007440336920917174
9,Anaerococcus,0.0035563874590547498
10,Sutterella,0.0035095928872250818
11,Mycoplasma,0.002526906878802059
12,Porphyromonas,0.002339728591483388
13,Aerococcus,0.0016846045858680393
14,Bacillus,0.0008890968647636874
15,Sneathia,0.0007487131492746841
16,Prevotella_7,0.00037435657463734206
17,Varibaculum,0.0002339728591483388
18,Finegoldia,0.00018717828731867103
19,Streptococcus,0.00018717828731867103
