,bacterium,abundance
0,Streptococcus,0.9399171088408437
1,Finegoldia,0.012671259998416092
2,Prevotella,0.010295398748713075
3,Peptoniphilus,0.008817085082231198
4,Anaerococcus,0.006599614582508381
5,Lactobacillus,0.005570074707637074
7,Corynebacterium,0.00366938570787466
8,Dialister,0.003167814999604023
9,Actinomyces,0.0012671259998416093
10,Flavobacterium,0.001161532166521475
11,Veillonella,0.0006071645415907711
12,Megasphaera,0.00026398458330033526
13,Actinotignum,0.0002111876666402682
14,Varibaculum,0.00018478920831023468
15,Facklamia,0.00015839074998020116
16,Staphylococcus,0.00015839074998020116
17,Ureaplasma,0.00013199229165016763
18,Bacillus,0.00013199229165016763
20,Enterococcus,7.919537499010058e-05
