,bacterium,abundance
0,Lactobacillus,0.32044729201161426
2,Megasphaera,0.24483478511266288
3,Dialister,0.03481870755645142
4,Mobiluncus,0.02951551364192643
5,Prevotella,0.02778777625800878
6,Peptoniphilus,0.022724545869027907
7,Parvimonas,0.013989873539222038
8,Aerococcus,0.008542701509370575
9,Fastidiosipila,0.0048952559210999926
10,Gemella,0.0034314784152808774
11,Arcanobacterium,0.0018477191466897032
12,Sneathia,0.0017517337364720562
13,Atopobium,0.0013197993904926451
14,Shuttleworthia,0.0002879562306529408
15,Ligilactobacillus,0.0002399635255441173
16,Rikenellaceae RC9 gut group,0.00021596717298970556
17,Gardnerella,0.00019197082043529383
18,Streptococcus,0.00019197082043529383
19,Bacillus,0.0001679744678808821
