,bacterium,abundance
0,Lactobacillus,0.9955929765963862
1,Ureaplasma,0.0026442140421682556
2,Limosilactobacillus,0.0009045995407417716
4,Escherichia-Shigella,0.0001391691601141187
5,Prevotella,0.00011597430009509893
6,Massilia,4.638972003803957e-05
7,Veillonella,4.638972003803957e-05
8,Bacillus,4.638972003803957e-05
9,Alloscardovia,4.638972003803957e-05
10,Staphylococcus,2.3194860019019784e-05
11,Corynebacterium,2.3194860019019784e-05
12,Polaromonas,2.3194860019019784e-05
13,Fusobacterium,2.3194860019019784e-05
14,Finegoldia,2.3194860019019784e-05
15,Virgibacillus,2.3194860019019784e-05
16,Flavobacterium,2.3194860019019784e-05
17,Simplicispira,2.3194860019019784e-05
