,bacterium,abundance
0,Lactobacillus,0.9978368439553308
1,Limosilactobacillus,0.001068058297055404
2,Escherichia-Shigella,0.0003785523078171052
4,Cutibacterium,8.111835167509396e-05
5,Prevotella,8.111835167509396e-05
6,Corynebacterium,4.055917583754698e-05
7,Peptoniphilus,2.7039450558364655e-05
8,Finegoldia,2.7039450558364655e-05
9,Aerococcus,2.7039450558364655e-05
10,Atopobium,2.7039450558364655e-05
11,Bacillus,2.7039450558364655e-05
12,Flavobacterium,2.7039450558364655e-05
13,Actinomyces,1.3519725279182327e-05
14,Acinetobacter,1.3519725279182327e-05
15,Anaerococcus,1.3519725279182327e-05
16,Fastidiosipila,1.3519725279182327e-05
17,Megasphaera,1.3519725279182327e-05
18,Streptococcus,1.3519725279182327e-05
19,Veillonella,1.3519725279182327e-05
