,bacterium,abundance
0,Lactobacillus,0.9983922829581994
1,Prevotella,0.00040192926045016077
3,Limosilactobacillus,0.00018269511838643672
4,Mobiluncus,7.307804735457468e-05
5,Anaerococcus,7.307804735457468e-05
6,Dialister,7.307804735457468e-05
7,Pseudomonas,7.307804735457468e-05
8,Ureaplasma,7.307804735457468e-05
9,Finegoldia,3.653902367728734e-05
10,Corynebacterium,3.653902367728734e-05
11,Enterococcus,3.653902367728734e-05
12,Flavobacterium,3.653902367728734e-05
13,Escherichia-Shigella,3.653902367728734e-05
14,Varibaculum,3.653902367728734e-05
15,Streptococcus,3.653902367728734e-05
16,Prevotella_9,3.653902367728734e-05
17,Peptoniphilus,3.653902367728734e-05
18,Atopobium,3.653902367728734e-05
19,Cutibacterium,3.653902367728734e-05
