,bacterium,abundance
0,Lactobacillus,0.9818883701058928
1,Limosilactobacillus,0.011779425676706643
2,Dialister,0.002273490188898044
3,Prevotella,0.0015410906649577344
5,Anaerococcus,0.00038145808538557783
6,Finegoldia,0.0002593914980621929
7,Peptoniphilus,0.00016784155756965425
8,Corynebacterium,0.0001220665873233849
9,Flavobacterium,0.00010680826390796179
10,Streptococcus,9.154994049253868e-05
11,Bacillus,7.629161707711557e-05
12,Actinotignum,6.103329366169245e-05
13,Actinomyces,6.103329366169245e-05
14,Limnohabitans,6.103329366169245e-05
15,Fluviicola,6.103329366169245e-05
16,Catenibacterium,4.577497024626934e-05
17,Clostridium sensu stricto 1,4.577497024626934e-05
18,Cutibacterium,3.0516646830846227e-05
20,Stenotrophomonas,3.0516646830846227e-05
