,bacterium,abundance
0,Lactobacillus,0.968427386154918
2,Prevotella,0.005003483437836468
3,Atopobium,0.003768446386724935
4,Anaerococcus,0.002770916460827158
5,Gemella,0.0010450313509405282
6,Mycoplasma,0.0007441889923364368
7,Streptococcus,0.0006966875672936855
8,Peptostreptococcus,0.0005383494838178479
9,Sneathia,0.0005225156754702641
10,Peptoniphilus,0.0004433466337323453
11,Gardnerella,0.0003641775919944265
12,Dialister,0.00030084235860409147
13,Fusobacterium,0.0001583380834758376
14,Flavobacterium,0.00014250427512825384
15,Campylobacter,0.00014250427512825384
16,Parvimonas,0.00011083665843308633
17,Finegoldia,7.91690417379188e-05
18,Limosilactobacillus,6.333523339033504e-05
19,Corynebacterium,6.333523339033504e-05
