,bacterium,abundance
0,Lactobacillus,0.9946946202937181
1,Limosilactobacillus,0.00281928390188892
2,Prevotella,0.0008201553169131404
4,Atopobium,0.00023066868288182073
5,Megasphaera,0.0002050388292282851
6,Finegoldia,0.00010251941461414255
7,Anaerococcus,7.688956096060692e-05
8,Mobiluncus,7.688956096060692e-05
9,Streptococcus,5.1259707307071275e-05
10,Corynebacterium,5.1259707307071275e-05
11,Fastidiosipila,5.1259707307071275e-05
12,Cutibacterium,5.1259707307071275e-05
13,Flavobacterium,5.1259707307071275e-05
14,Ureaplasma,2.5629853653535638e-05
15,Gardnerella,2.5629853653535638e-05
16,Burkholderia-Caballeronia-Paraburkholderia,2.5629853653535638e-05
17,Limnohabitans,2.5629853653535638e-05
18,Malikia,2.5629853653535638e-05
19,Dialister,2.5629853653535638e-05
