,bacterium,abundance
0,Lactobacillus,0.9498120491720005
1,Ureaplasma,0.04231433506044905
2,Streptococcus,0.004266991770801585
4,Staphylococcus,0.0005079752108097125
5,Corynebacterium,0.00040638016864777
6,Veillonella,0.00025398760540485624
7,Bacillus,0.00025398760540485624
8,Pseudomonas,0.000203190084323885
9,Peptoniphilus,0.00015239256324291374
10,Methylobacterium-Methylorubrum,0.00015239256324291374
11,Sulfuritalea,0.0001015950421619425
12,Cutibacterium,0.0001015950421619425
13,Anaerococcus,0.0001015950421619425
14,Prevotella,0.0001015950421619425
15,Cyanobium PCC-6307,0.0001015950421619425
16,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,5.079752108097125e-05
18,Prevotella_7,5.079752108097125e-05
19,Acinetobacter,5.079752108097125e-05
20,Blautia,5.079752108097125e-05
