,bacterium,abundance
0,Lactobacillus,0.9983502366463827
2,Prevotella,0.00018931710615280594
3,Corynebacterium,0.0001352265043948614
4,Finegoldia,0.00010818120351588912
5,Ureaplasma,0.00010818120351588912
6,Anaerococcus,8.113590263691683e-05
7,Staphylococcus,8.113590263691683e-05
8,Parvimonas,5.409060175794456e-05
9,Peptoniphilus,5.409060175794456e-05
10,Limosilactobacillus,5.409060175794456e-05
11,Fenollaria,5.409060175794456e-05
12,Bifidobacterium,5.409060175794456e-05
13,Porphyromonas,2.704530087897228e-05
14,Streptococcus,2.704530087897228e-05
15,Sneathia,2.704530087897228e-05
16,Facklamia,2.704530087897228e-05
17,Faecalibacterium,2.704530087897228e-05
18,Atopobium,2.704530087897228e-05
19,Flavobacterium,2.704530087897228e-05
