,bacterium,abundance
0,Lactobacillus,0.9904092828669535
1,Limosilactobacillus,0.003907329202352291
2,Finegoldia,0.0028022259936061884
3,Corynebacterium,0.0007104234913367802
4,Staphylococcus,0.000513083632632119
6,Actinomyces,0.00027627580218652563
7,Prevotella,0.0002368078304455934
8,Anaerococcus,0.0002368078304455934
9,Peptoniphilus,0.00015787188696372894
10,Bauldia,3.9467971740932234e-05
11,Megasphaera,3.9467971740932234e-05
12,Paracoccus,3.9467971740932234e-05
13,Collinsella,3.9467971740932234e-05
14,Dialister,3.9467971740932234e-05
15,Parabacteroides,3.9467971740932234e-05
16,Bacillus,3.9467971740932234e-05
