,bacterium,abundance
0,Lactobacillus,0.4465217042445639
1,Prevotella,0.20629062023589825
2,Streptococcus,0.11891197945919924
3,Finegoldia,0.08376795314129824
4,Dialister,0.033218326245687234
6,Peptoniphilus,0.026558613495948007
7,Corynebacterium,0.02254673834550269
8,Prevotella_7,0.008986600336997512
9,Mobiluncus,0.0032095001203562546
10,Varibaculum,0.0027280751023028163
11,Actinotignum,0.002246650084249378
12,Limosilactobacillus,0.002166412581240472
13,Fusobacterium,0.002166412581240472
14,Brevibacterium,0.0019257000722137528
15,Cutibacterium,0.0016047500601781273
16,Atopobium,0.001524512557169221
17,Peptostreptococcus,0.0010430875391157827
18,Pyramidobacter,0.0007221375270801573
19,Lawsonella,0.0007221375270801573
