,bacterium,abundance
0,Lactobacillus,0.9908841378963008
1,Finegoldia,0.001989373221525522
2,Limosilactobacillus,0.001133187278084158
3,Anaerococcus,0.001133187278084158
4,Prevotella,0.0011080053385711768
6,Veillonella,0.0008310040039283826
7,Peptoniphilus,0.00078064012490242
8,Facklamia,0.00017627357659086903
9,Corynebacterium,0.00012590969756490645
10,Campylobacter,7.554581853894387e-05
11,Mobiluncus,7.554581853894387e-05
12,Actinomyces,7.554581853894387e-05
13,Actinotignum,7.554581853894387e-05
14,Staphylococcus,7.554581853894387e-05
15,Flavobacterium,7.554581853894387e-05
16,Atopobium,5.036387902596258e-05
17,Pelomonas,2.518193951298129e-05
18,Streptococcus,2.518193951298129e-05
19,Limnohabitans,2.518193951298129e-05
