,bacterium,abundance
0,Lactobacillus,0.9976587224698056
1,Prevotella,0.0005005489892139766
3,Streptococcus,0.00025834786540076214
4,Finegoldia,0.00016146741587547633
5,Actinomyces,0.00014532067428792869
6,Peptoniphilus,0.00012917393270038107
7,Corynebacterium,0.00011302719111283343
8,Megasphaera,8.073370793773816e-05
9,Dialister,8.073370793773816e-05
10,Flavobacterium,6.458696635019054e-05
11,Staphylococcus,6.458696635019054e-05
12,Bacillus,4.8440224762642895e-05
13,Anaerococcus,4.8440224762642895e-05
14,Limosilactobacillus,3.229348317509527e-05
15,Campylobacter,3.229348317509527e-05
16,Stenotrophomonas,3.229348317509527e-05
18,Pseudonocardia,3.229348317509527e-05
19,Atopobium,3.229348317509527e-05
20,Fusobacterium,3.229348317509527e-05
