,bacterium,abundance
0,Mobiluncus,0.2618135602195901
1,Megasphaera,0.19810771213217773
2,Prevotella,0.13115390725671214
4,Atopobium,0.0709254911652045
5,Fastidiosipila,0.06991933063847064
6,Lactobacillus,0.048030926197242765
7,Parvimonas,0.045436091154613334
8,Dialister,0.01966426011897407
9,Peptoniphilus,0.010944202220613935
10,Arcanobacterium,0.0077315493106917795
11,Gemella,0.00458950415703165
12,Sneathia,0.0022594482003848123
13,Peptostreptococcus,0.0007943372579477855
14,Anaerococcus,0.0007590333798167729
15,Gardnerella,0.000511906232899684
16,Mageeibacillus,0.0003530387813101269
17,Fusobacterium,0.0002647790859825952
18,Aerococcus,0.0002471271469170888
19,Bacillus,0.0001941713297205698
