,bacterium,abundance
0,Ureaplasma,0.7512058503189668
1,Streptococcus,0.12110367719516622
2,Lactobacillus,0.025776671334474352
3,Finegoldia,0.024194803174109228
4,Corynebacterium,0.017115294849852185
5,Anaerococcus,0.011332399771796068
6,Prevotella,0.00845391836523002
7,Peptoniphilus,0.007053576059333022
8,Bifidobacterium,0.006016285462372283
10,Lacticaseibacillus,0.004304755977387065
11,Actinomyces,0.0036045848244385665
12,Alloscardovia,0.0034749234998184744
13,Dialister,0.0030340749961101604
14,Staphylococcus,0.0009335615372646647
15,Hymenobacter,0.0008298324775685909
16,Bacillus,0.0007520356827965354
17,Fusobacterium,0.0005705098283284062
18,Campylobacter,0.0005186452984803693
19,Facklamia,0.00046678076863233234
