,bacterium,abundance
0,Streptococcus,0.44331632384659897
1,Anaerococcus,0.22160555526329634
2,Lactobacillus,0.18270293019096218
3,Peptoniphilus,0.044531537692671895
4,Prevotella,0.0423483613025409
6,Finegoldia,0.01196801515071808
7,Campylobacter,0.008338155610500289
8,Peptostreptococcus,0.005208059340312483
9,Bacteroides,0.002288389710137303
10,Dialister,0.0021568730601294124
11,Escherichia-Shigella,0.0017886264401073175
12,Porphyromonas,0.0012625598400757537
13,Actinotignum,0.0011573465200694407
14,Holdemanella,0.0011047398600662844
15,Ezakiella,0.0009995265400599715
16,Actinomyces,0.0009469198800568152
17,Flavobacterium,0.000920616550055237
18,Corynebacterium,0.000920616550055237
19,Mobiluncus,0.0008680098900520806
