,bacterium,abundance
0,Lactobacillus,0.9980131784115487
1,Flavobacterium,0.0004526935264825713
3,Prevotella,0.0002514964036014285
4,Megasphaera,0.0001005985614405714
5,Streptococcus,7.544892108042855e-05
6,Limnohabitans,7.544892108042855e-05
7,Clostridium sensu stricto 1,5.02992807202857e-05
8,Fluviicola,5.02992807202857e-05
9,Cutibacterium,5.02992807202857e-05
10,Dialister,5.02992807202857e-05
11,Ureaplasma,2.514964036014285e-05
12,Stenotrophomonas,2.514964036014285e-05
13,Malikia,2.514964036014285e-05
14,1174-901-12,2.514964036014285e-05
15,Finegoldia,2.514964036014285e-05
16,Peptoniphilus,2.514964036014285e-05
17,Legionella,2.514964036014285e-05
18,Actinomyces,2.514964036014285e-05
19,Yersinia,2.514964036014285e-05
