,bacterium,abundance
0,Lactobacillus,0.9990075145328229
2,Limosilactobacillus,0.0001417836381681554
3,Ureaplasma,8.101922181037452e-05
4,Megasphaera,8.101922181037452e-05
5,Anaerococcus,8.101922181037452e-05
6,Streptococcus,6.0764416357780884e-05
7,Clostridium sensu stricto 1,4.050961090518726e-05
8,Peptoniphilus,4.050961090518726e-05
9,Staphylococcus,4.050961090518726e-05
10,Prevotella,4.050961090518726e-05
11,Corynebacterium,4.050961090518726e-05
12,Gemella,2.025480545259363e-05
13,Veillonella,2.025480545259363e-05
14,Flavobacterium,2.025480545259363e-05
15,Finegoldia,2.025480545259363e-05
16,Malikia,2.025480545259363e-05
17,Atopobium,2.025480545259363e-05
18,Pseudarcicella,2.025480545259363e-05
19,Dialister,2.025480545259363e-05
