,bacterium,abundance
0,Lactobacillus,0.9902433307452279
1,Limosilactobacillus,0.007866863948667613
3,Flavobacterium,0.0003076427242495715
4,Prevotella,0.00017579584242832658
5,Bacillus,7.324826767846941e-05
6,Limnohabitans,7.324826767846941e-05
7,Cutibacterium,5.8598614142775525e-05
8,Finegoldia,4.3948960607081645e-05
9,Megasphaera,4.3948960607081645e-05
10,Streptococcus,4.3948960607081645e-05
11,Dialister,2.9299307071387762e-05
12,Malikia,2.9299307071387762e-05
13,Atopobium,2.9299307071387762e-05
14,Pseudarcicella,1.4649653535693881e-05
16,Anaerococcus,1.4649653535693881e-05
17,1174-901-12,1.4649653535693881e-05
18,Aerococcus,1.4649653535693881e-05
19,Fluviicola,1.4649653535693881e-05
20,Burkholderia-Caballeronia-Paraburkholderia,1.4649653535693881e-05
