,bacterium,abundance
0,Lactobacillus,0.5217936938350178
1,Prevotella,0.34302937946798734
2,Atopobium,0.04069650180400242
3,Anaerococcus,0.028819218788517134
4,Parvimonas,0.01579902740739081
6,Peptoniphilus,0.013087421284987563
7,Dialister,0.007328059520874885
8,Fenollaria,0.004952602917777827
9,Peptostreptococcus,0.0036304148085068238
10,Peptococcus,0.0026443762185420073
11,Finegoldia,0.0018600273401609036
12,Prevotella_7,0.0003361495193061874
13,Slackia,0.00031373955135244157
14,Actinomyces,0.00029132958339869573
15,Porphyromonas,0.0002465096474912041
16,Solobacterium,0.00020168971158371243
17,Ureaplasma,0.00013445980772247495
18,Murdochiella,0.00011204983976872913
19,Varibaculum,0.00011204983976872913
