,bacterium,abundance
0,Prevotella,0.35795785506253214
1,Lactobacillus,0.19825252698303925
2,Megasphaera,0.15621038204557136
3,Mobiluncus,0.11211238649991434
5,Fenollaria,0.02052424190508823
6,Peptoniphilus,0.0201130717834504
7,Atopobium,0.018125749528867568
8,Dialister,0.01651533321911941
9,Parvimonas,0.006612986123008395
10,Porphyromonas,0.004557135514819256
11,Rikenellaceae RC9 gut group,0.003049511735480555
12,Fastidiosipila,0.0023299640226143565
13,Mycoplasma,0.0022271714922048997
14,Anaerococcus,0.002021586431385986
15,Sneathia,0.0015418879561418537
16,Peptococcus,0.0011649820113071782
17,Fusobacterium,0.0011649820113071782
18,Peptostreptococcus,0.001130717834504026
19,Aerococcus,0.000788076066472503
