,bacterium,abundance
0,Streptococcus,0.5095786322818329
1,Lactobacillus,0.39311535804743264
2,Staphylococcus,0.0236702740041446
3,Corynebacterium,0.022818328344462353
4,Gemella,0.015335021874280451
5,Finegoldia,0.01374625834676491
6,Peptoniphilus,0.0035229104305779415
7,Enterococcus,0.0029933225880727607
8,Anaerococcus,0.002555836979046742
9,Atopobium,0.002509785862307161
11,Haemophilus,0.0019111213446926089
12,Prevotella,0.0012664057103384757
13,Actinomyces,0.0009900990099009901
14,Aerococcus,0.0008749712180520378
15,Dialister,0.0005526134008749712
16,Aggregatibacter,0.00023025558369790466
17,Limosilactobacillus,0.0002072300253281142
18,Bacillus,0.00018420446695832375
19,Flavobacterium,0.0001381533502187428
