,bacterium,abundance
0,Lactobacillus,0.9710273299727827
1,Corynebacterium,0.007118354725975553
2,Prevotella,0.004992511233150275
3,Finegoldia,0.003881274861900697
5,Streptococcus,0.0012722851207060378
6,Prevotella_9,0.0011112363712495773
7,Flavobacterium,0.0009823973716844088
8,Actinomyces,0.0005797754980432577
9,Anaerococcus,0.00048314624836938143
10,Peptoniphilus,0.0004509364984780893
11,Facklamia,0.00032209749891292093
12,Staphylococcus,0.00028988774902162886
13,Ureaplasma,0.0002093633742933986
14,Malikia,0.00019325849934775257
15,UCG-002,0.0001771536244021065
16,Limnohabitans,0.0001771536244021065
17,Faecalibacterium,0.00016104874945646047
18,Atopobium,0.00016104874945646047
19,Peptostreptococcus,0.00014494387451081443
