,bacterium,abundance
0,Lactobacillus,0.9944965173273712
1,Prevotella,0.0013113767305873247
2,Anaerococcus,0.0007309312924585089
4,Finegoldia,0.0002794737294694299
5,Peptoniphilus,0.0002579757502794737
6,Faecalibacterium,0.0002364777710895176
7,Flavobacterium,0.00021497979189956143
8,Corynebacterium,0.0001934818127096053
9,Ruminococcus,0.00012898787513973686
10,Staphylococcus,0.00010748989594978072
11,Blautia,0.00010748989594978072
12,Mobiluncus,8.599191675982457e-05
13,Prevotella_7,8.599191675982457e-05
14,Atopobium,8.599191675982457e-05
16,Roseburia,6.449393756986843e-05
17,Porphyromonas,6.449393756986843e-05
18,Enterococcus,6.449393756986843e-05
19,Limnohabitans,6.449393756986843e-05
20,Dialister,6.449393756986843e-05
