,bacterium,abundance
0,Lactobacillus,0.9983723527073831
1,Limosilactobacillus,0.0006813407271419649
3,Prevotella,0.00026496583833298635
4,Streptococcus,3.785226261899805e-05
5,Anaerococcus,3.785226261899805e-05
6,Peptoniphilus,3.785226261899805e-05
7,Polynucleobacter,1.8926131309499025e-05
8,Paracoccus,1.8926131309499025e-05
9,Fluviicola,1.8926131309499025e-05
10,Lactococcus,1.8926131309499025e-05
11,Sneathia,1.8926131309499025e-05
12,Methylobacterium-Methylorubrum,1.8926131309499025e-05
13,Fastidiosipila,1.8926131309499025e-05
14,Porphyromonas,1.8926131309499025e-05
15,Ligilactobacillus,1.8926131309499025e-05
16,Flavobacterium,1.8926131309499025e-05
17,Megasphaera,1.8926131309499025e-05
18,Finegoldia,1.8926131309499025e-05
19,Mobiluncus,1.8926131309499025e-05
