,bacterium,abundance
0,Lactobacillus,0.9927607051073225
1,Limosilactobacillus,0.00383682629311905
2,Prevotella,0.0008687153871212944
4,Flavobacterium,0.00025337532124371085
5,Finegoldia,0.0002171788467803236
6,Veillonella,0.00018098237231693634
7,Ureaplasma,0.00018098237231693634
8,Streptococcus,0.00018098237231693634
9,Megasphaera,0.0001085894233901618
11,Pseudomonas,0.0001085894233901618
12,Anaerococcus,7.239294892677453e-05
13,Staphylococcus,7.239294892677453e-05
14,Stenotrophomonas,7.239294892677453e-05
15,Corynebacterium,3.6196474463387263e-05
16,Achromobacter,3.6196474463387263e-05
17,Rhodoferax,3.6196474463387263e-05
18,Limnohabitans,3.6196474463387263e-05
19,Prevotella_7,3.6196474463387263e-05
20,Acetobacter,3.6196474463387263e-05
