,bacterium,abundance
0,Lactobacillus,0.9977469865945703
1,Anaerococcus,0.0005632533513574405
2,Peptoniphilus,0.0005069280162216965
4,Prevotella,0.00022530134054297624
5,Streptococcus,0.00016897600540723216
6,Corynebacterium,0.00011265067027148812
7,Ureaplasma,0.00011265067027148812
8,Peptostreptococcus,5.632533513574406e-05
9,Gardnerella,5.632533513574406e-05
10,Ezakiella,5.632533513574406e-05
11,Gallicola,5.632533513574406e-05
12,Finegoldia,5.632533513574406e-05
13,Limosilactobacillus,5.632533513574406e-05
