,bacterium,abundance
0,Lactobacillus,0.995700518902891
1,Prevotella,0.0006424511984185816
2,Ureaplasma,0.0005436125525080306
3,Streptococcus,0.0004941932295527551
4,Limosilactobacillus,0.00044477390659747963
5,Anaerococcus,0.0003953545836422041
6,Peptoniphilus,0.0003953545836422041
8,Finegoldia,0.00024709661477637757
9,Fenollaria,0.00024709661477637757
10,Corynebacterium,0.00024709661477637757
11,Porphyromonas,9.883864591055103e-05
12,Gordonia,4.9419322955275514e-05
13,Aerococcus,4.9419322955275514e-05
14,Escherichia-Shigella,4.9419322955275514e-05
15,Dialister,4.9419322955275514e-05
16,Bacillus,4.9419322955275514e-05
