,bacterium,abundance
0,Lactobacillus,0.9837340153452685
1,Prevotella,0.005626598465473146
3,Anaerococcus,0.002173913043478261
4,Peptoniphilus,0.0017647058823529412
5,Fenollaria,0.0007672634271099745
6,Dialister,0.000690537084398977
7,Finegoldia,0.0006138107416879795
8,Atopobium,0.0003324808184143223
9,Mobiluncus,0.00030690537084398974
10,Campylobacter,0.00028132992327365726
11,Streptococcus,0.00028132992327365726
12,Fusobacterium,0.00017902813299232738
13,Flavobacterium,0.00010230179028132993
14,Ezakiella,0.00010230179028132993
15,W5053,7.672634271099744e-05
16,Cutibacterium,7.672634271099744e-05
17,Gemella,7.672634271099744e-05
18,Ureaplasma,7.672634271099744e-05
19,Escherichia-Shigella,5.1150895140664964e-05
