,bacterium,abundance
0,Lactobacillus,0.9897117615812575
1,Corynebacterium,0.003326903184321619
2,Limosilactobacillus,0.0014258156504235512
3,Ureaplasma,0.0011182867846459225
4,Staphylococcus,0.000922586597332886
5,Anaerococcus,0.0005591433923229612
7,Prevotella,0.0003634432050099248
8,Peptoniphilus,0.00033548603539377674
9,Finegoldia,0.00033548603539377674
10,Blautia,0.00011182867846459225
11,Porphyromonas,0.00011182867846459225
12,Sneathia,0.00011182867846459225
13,Dialister,8.387150884844419e-05
14,Megasphaera,8.387150884844419e-05
15,Streptococcus,8.387150884844419e-05
16,Flavobacterium,8.387150884844419e-05
17,Facklamia,5.5914339232296124e-05
18,Escherichia-Shigella,5.5914339232296124e-05
19,Aerococcus,5.5914339232296124e-05
