,bacterium,abundance
0,Lactobacillus,0.9968972801689993
1,Prevotella,0.0007261684710852918
3,Streptococcus,0.0005281225244256667
4,Limosilactobacillus,0.00019804594665962503
5,Cutibacterium,0.0001320306311064167
6,Ligilactobacillus,0.0001320306311064167
7,Anaerococcus,0.0001320306311064167
8,Bacillus,0.0001320306311064167
9,Faecalibacterium,6.601531555320834e-05
10,Finegoldia,6.601531555320834e-05
12,Megasphaera,6.601531555320834e-05
13,Christensenellaceae R-7 group,6.601531555320834e-05
14,Fluviicola,6.601531555320834e-05
15,Mobiluncus,6.601531555320834e-05
