,bacterium,abundance
0,Lactobacillus,0.9975541370876335
1,Prevotella,0.0007755175087991409
2,Limosilactobacillus,0.00047724154387639444
3,Prevotella_7,0.00023862077193819722
5,Mobiluncus,0.00011931038596909861
6,Flavobacterium,0.00011931038596909861
7,Methylobacterium-Methylorubrum,5.9655192984549304e-05
8,Lacticaseibacillus,5.9655192984549304e-05
9,Bacteroides,5.9655192984549304e-05
10,Dialister,5.9655192984549304e-05
11,Staphylococcus,5.9655192984549304e-05
12,Peptoniphilus,5.9655192984549304e-05
13,Atopobium,5.9655192984549304e-05
14,Fusobacterium,5.9655192984549304e-05
