,bacterium,abundance
0,Lactobacillus,0.8504026031325833
1,Finegoldia,0.06491286123979705
2,Corynebacterium,0.048312375909993384
3,Streptococcus,0.008189940436796824
4,Prevotella,0.007528127068166777
6,Staphylococcus,0.0031987646150452237
7,Limosilactobacillus,0.0026472534745201853
8,Flavobacterium,0.0022060445621001545
9,Actinomyces,0.0017648356496801235
10,Peptoniphilus,0.0010754467240238254
11,Megasphaera,0.0008272667107875579
12,Dialister,0.0006618133686300463
13,Anaerococcus,0.0006342378116037944
14,Ureaplasma,0.0005790866975512905
15,Atopobium,0.000386057798367527
16,Tabrizicola,0.0003584822413412751
17,Varibaculum,0.0003033311272887712
18,Parvimonas,0.0002757555702625193
19,Malikia,0.00024818001323626736
