,bacterium,abundance
0,Lactobacillus,0.9980566218809981
2,Staphylococcus,0.0002399232245681382
3,Prevotella,0.00021593090211132436
4,Flavobacterium,0.00014395393474088292
5,Limnohabitans,0.0001199616122840691
6,Megasphaera,0.0001199616122840691
7,Ureaplasma,0.0001199616122840691
8,Finegoldia,9.596928982725528e-05
9,Peptoniphilus,4.798464491362764e-05
10,Fluviicola,4.798464491362764e-05
11,Hyphomicrobium,4.798464491362764e-05
12,Subdoligranulum,4.798464491362764e-05
14,Faecalibacterium,4.798464491362764e-05
15,Limosilactobacillus,4.798464491362764e-05
16,Mycoplasma,4.798464491362764e-05
17,Gemella,2.399232245681382e-05
18,Cutibacterium,2.399232245681382e-05
19,Spirochaeta,2.399232245681382e-05
20,Corynebacterium,2.399232245681382e-05
