,bacterium,abundance
0,Lactobacillus,0.9979722117912129
1,Prevotella,0.0003379647014645137
2,Ureaplasma,0.0003004130679684566
3,Corynebacterium,0.000244085617724371
5,Finegoldia,0.00016898235073225685
6,Limosilactobacillus,0.00011265490048817123
7,Pseudomonas,9.38790837401427e-05
8,Streptococcus,5.632745024408562e-05
9,Megasphaera,5.632745024408562e-05
10,Bacteroides,3.755163349605708e-05
11,Flavobacterium,3.755163349605708e-05
12,Peptoniphilus,3.755163349605708e-05
13,Aeromonas,3.755163349605708e-05
14,Pseudarcicella,3.755163349605708e-05
15,Anaerococcus,1.877581674802854e-05
16,Acetobacter,1.877581674802854e-05
17,Lacticaseibacillus,1.877581674802854e-05
18,Dialister,1.877581674802854e-05
19,Cutibacterium,1.877581674802854e-05
