,bacterium,abundance
0,Prevotella,0.49589699112682634
1,Ureaplasma,0.3252718660350924
2,Lactobacillus,0.13102942157582226
3,Bacteroides,0.035993061578490894
4,Peptoniphilus,0.002501834678764427
5,Anaerococcus,0.002034825538728401
7,Finegoldia,0.0009006604843551938
8,Peptostreptococcus,0.0009006604843551938
9,Flavobacterium,0.0008005870972046167
10,Bacillus,0.0004336513443191674
11,Sutterella,0.00036693575288544933
12,Staphylococcus,0.0003002201614517313
14,Prevotella_7,0.0002335045700180132
15,Limnohabitans,0.00020014677430115418
16,Veillonella,0.0001334311828674361
17,Escherichia-Shigella,0.0001334311828674361
18,Enterococcus,0.00010007338715057709
19,Corynebacterium,0.00010007338715057709
20,Streptococcus,0.00010007338715057709
