,bacterium,abundance
0,Lactobacillus,0.37913599052212915
1,Prevotella,0.28425150207328426
2,Anaerococcus,0.09892527714309893
3,Peptoniphilus,0.08202166370483202
4,Dialister,0.035372768046035376
5,Finegoldia,0.026487264111026487
7,Fusobacterium,0.013984090716763984
8,Atopobium,0.01152999915376153
9,Cutibacterium,0.00844122873825844
10,Peptococcus,0.007743082000507743
11,Ezakiella,0.006748751798256749
12,Mobiluncus,0.004781247355504782
13,Campylobacter,0.002432935601252433
14,Stenotrophomonas,0.0022002200220022
15,Peptostreptococcus,0.0015866971312515866
16,Solobacterium,0.0015655411695015655
17,Alloprevotella,0.0015655411695015655
18,Sutterella,0.0015020732842515021
19,Limosilactobacillus,0.0013328255902513328
