,bacterium,abundance
0,Lactobacillus,0.9963636363636363
1,Limosilactobacillus,0.0013438735177865612
3,Finegoldia,0.0003952569169960474
4,Prevotella,0.00031620553359683795
5,Peptoniphilus,0.00015810276679841898
6,Anaerococcus,0.00015810276679841898
7,Murdochiella,0.00015810276679841898
8,Facklamia,7.905138339920949e-05
9,Actinomyces,7.905138339920949e-05
10,Faecalibacterium,7.905138339920949e-05
12,Campylobacter,7.905138339920949e-05
13,Porphyromonas,7.905138339920949e-05
14,Staphylococcus,7.905138339920949e-05
