,bacterium,abundance
0,Lactobacillus,0.9921779216320926
1,Limosilactobacillus,0.004119464469618949
2,Ureaplasma,0.0008337011426609779
3,Prevotella,0.0007601392771320681
5,Staphylococcus,0.00036780932764454905
6,Finegoldia,0.00034328870580157915
7,Megasphaera,0.0001961649747437595
8,Atopobium,0.0001226031092148497
9,Corynebacterium,0.0001226031092148497
10,Peptoniphilus,9.808248737187975e-05
11,Mobiluncus,7.356186552890981e-05
12,Anaerococcus,7.356186552890981e-05
13,Streptococcus,7.356186552890981e-05
14,Pseudomonas,4.9041243685939876e-05
15,Gemella,2.4520621842969938e-05
16,Alloprevotella,2.4520621842969938e-05
17,Gardnerella,2.4520621842969938e-05
19,Dialister,2.4520621842969938e-05
20,Parvimonas,2.4520621842969938e-05
