,bacterium,abundance
0,Lactobacillus,0.9971040102095912
1,Streptococcus,0.0005890148726255338
2,Prevotella,0.0005399302999067393
3,Methylobacterium-Methylorubrum,0.00039267658175035585
4,Bacillus,0.0002945074363127669
5,Anaerococcus,0.00019633829087517792
6,Finegoldia,0.00014725371815638345
7,Bradyrhizobium,9.816914543758896e-05
8,Mycobacterium,9.816914543758896e-05
10,Brevundimonas,9.816914543758896e-05
11,Peptostreptococcus,4.908457271879448e-05
12,Polaromonas,4.908457271879448e-05
13,Gardnerella,4.908457271879448e-05
14,Sphingomonas,4.908457271879448e-05
15,Halalkalibacillus,4.908457271879448e-05
16,Fusicatenibacter,4.908457271879448e-05
17,Peptoniphilus,4.908457271879448e-05
