,bacterium,abundance
0,Lactobacillus,0.9988205835389752
2,Prevotella,0.00027217302946726664
3,Streptococcus,0.00016330381768036
4,Flavobacterium,9.072434315575555e-05
5,Megasphaera,7.257947452460444e-05
6,Staphylococcus,5.443460589345333e-05
7,Peptoniphilus,1.814486863115111e-05
8,Limosilactobacillus,1.814486863115111e-05
9,Cutibacterium,1.814486863115111e-05
10,Faecalibacterium,1.814486863115111e-05
11,Ureaplasma,1.814486863115111e-05
12,Anaerococcus,1.814486863115111e-05
13,Polynucleobacter,1.814486863115111e-05
15,Acinetobacter,1.814486863115111e-05
16,Dialister,1.814486863115111e-05
17,Pseudoalteromonas,1.814486863115111e-05
