,bacterium,abundance
0,Lactobacillus,0.9533272653721683
1,Ureaplasma,0.026269215210355988
2,Prevotella,0.0038683252427184466
3,Limosilactobacillus,0.0025536003236245955
4,Anaerococcus,0.0023007686084142395
6,Streptococcus,0.002199635922330097
7,Aerococcus,0.0014917071197411004
8,Flavobacterium,0.0008343446601941747
9,Finegoldia,0.0007332119741100323
10,Peptoniphilus,0.0006320792880258899
11,Dialister,0.00042981391585760517
12,Limnohabitans,0.0002781148867313916
13,Atopobium,0.0002275485436893204
14,Gardnerella,0.0001769822006472492
15,Mobiluncus,0.0001769822006472492
16,Corynebacterium,0.0001769822006472492
17,Prevotella_7,0.00015169902912621358
18,Tabrizicola,0.00015169902912621358
19,Cutibacterium,0.00012641585760517798
