,bacterium,abundance
0,Lactobacillus,0.9910198275095581
1,Ureaplasma,0.006520257253786195
2,Prevotella,0.0004742005275480869
4,Gardnerella,0.00035565039566106516
5,Peptoniphilus,0.00026673779674579886
6,Anaerococcus,8.891259891526629e-05
7,Finegoldia,8.891259891526629e-05
8,Megasphaera,5.927506594351086e-05
9,Veillonella,5.927506594351086e-05
11,Atopobium,5.927506594351086e-05
12,Fenollaria,5.927506594351086e-05
13,Flavobacterium,2.963753297175543e-05
14,[Agitococcus] lubricus group,2.963753297175543e-05
15,Sneathia,2.963753297175543e-05
16,Thiobacillus,2.963753297175543e-05
17,Limosilactobacillus,2.963753297175543e-05
18,Dialister,2.963753297175543e-05
19,Methylobacterium-Methylorubrum,2.963753297175543e-05
20,Aerococcus,2.963753297175543e-05
