,bacterium,abundance
0,Lactobacillus,0.9747759468054351
1,Streptococcus,0.009757155247181267
2,Prevotella,0.004986990459670425
4,Finegoldia,0.001662330153223475
5,Flavobacterium,0.0011564035848511131
6,Corynebacterium,0.0010841283607979184
7,Ligilactobacillus,0.0006866146285053483
8,Limnohabitans,0.000505926568372362
9,Dialister,0.0004697889563457647
10,Actinomyces,0.0004336513443191674
11,Peptoniphilus,0.0004336513443191674
12,Anaerococcus,0.0003975137322925701
14,Staphylococcus,0.0001806880601329864
15,Bifidobacterium,0.00014455044810638914
16,Veillonella,0.00014455044810638914
17,Tabrizicola,0.00010841283607979184
18,Bacillus,7.227522405319457e-05
19,Rufibacter,7.227522405319457e-05
20,Pseudohongiella,7.227522405319457e-05
