,bacterium,abundance
0,Lactobacillus,0.9986259462822773
1,Prevotella,0.0002592554184382454
3,Flavobacterium,0.0001555532510629472
4,Streptococcus,0.0001296277092191227
5,Finegoldia,7.77766255314736e-05
6,Anaerococcus,7.77766255314736e-05
7,Staphylococcus,5.185108368764907e-05
8,Peptoniphilus,5.185108368764907e-05
9,Limosilactobacillus,5.185108368764907e-05
10,Actinomyces,2.5925541843824535e-05
11,Cutibacterium,2.5925541843824535e-05
12,Lachnospira,2.5925541843824535e-05
13,Ureaplasma,2.5925541843824535e-05
14,Intestinibacter,2.5925541843824535e-05
15,Stenotrophomonas,2.5925541843824535e-05
16,Tabrizicola,2.5925541843824535e-05
18,Oligoflexus,2.5925541843824535e-05
19,Sneathia,2.5925541843824535e-05
20,Corynebacterium,2.5925541843824535e-05
