,bacterium,abundance
0,Lactobacillus,0.7581617277749875
1,Prevotella,0.06322199899547966
2,Streptococcus,0.04369663485685585
3,Anaerococcus,0.022538925163234556
4,Peptoniphilus,0.020969362129583124
5,Aerococcus,0.014816675037669513
6,Dialister,0.012619286790557509
7,Campylobacter,0.010798593671521849
8,Parvimonas,0.010421898543445504
9,Finegoldia,0.008161727774987443
10,Ezakiella,0.007596685082872928
12,Fenollaria,0.0037669512807634357
13,Porphyromonas,0.0025113008538422904
14,Atopobium,0.0020718232044198894
15,Actinotignum,0.0018834756403817178
16,Peptostreptococcus,0.0018206931190356604
17,Corynebacterium,0.0013184329482672024
18,Actinomyces,0.0010045203415369162
19,Fusobacterium,0.0006906077348066298
