,bacterium,abundance
0,Lactobacillus,0.9861368235243466
1,Limosilactobacillus,0.009299522107891678
3,Prevotella,0.0009041202049339132
4,Peptoniphilus,0.0003013734016446377
5,Dialister,0.0002152667154604555
6,Finegoldia,0.0002152667154604555
7,Staphylococcus,0.0001291600292762733
8,Fenollaria,0.0001291600292762733
9,Streptococcus,0.0001291600292762733
10,Anaerococcus,8.610668618418221e-05
11,Murdochiella,8.610668618418221e-05
12,Methylobacterium-Methylorubrum,4.3053343092091103e-05
13,Pediococcus,4.3053343092091103e-05
14,Pseudomonas,4.3053343092091103e-05
15,Corynebacterium,4.3053343092091103e-05
16,Flavobacterium,4.3053343092091103e-05
17,Microbacterium,4.3053343092091103e-05
18,Lacticaseibacillus,4.3053343092091103e-05
19,Polaromonas,4.3053343092091103e-05
