,bacterium,abundance
0,Lactobacillus,0.9643849807964423
1,Limosilactobacillus,0.01884980796442288
2,Streptococcus,0.008009904992925004
4,Lacticaseibacillus,0.0026657570244592683
5,Flavobacterium,0.00024004447139680613
6,Ligilactobacillus,0.00011370527592480291
7,Prevotella,8.843743683040226e-05
8,Finegoldia,8.843743683040226e-05
9,Bifidobacterium,6.316959773600162e-05
10,Atopobium,6.316959773600162e-05
11,Peptoniphilus,5.053567818880129e-05
12,Dialister,5.053567818880129e-05
13,Limnohabitans,5.053567818880129e-05
14,Hyphomicrobium,5.053567818880129e-05
15,Corynebacterium,3.790175864160097e-05
16,Bacillus,3.790175864160097e-05
17,Tabrizicola,2.5267839094400645e-05
18,Ureaplasma,2.5267839094400645e-05
19,Novosphingobium,2.5267839094400645e-05
