,bacterium,abundance
0,Lactobacillus,0.984595528539906
1,Ureaplasma,0.008430825596402848
2,Limosilactobacillus,0.0012906449061159916
4,Corynebacterium,0.0006036887464090927
5,Prevotella,0.000437153919813481
6,Subdoligranulum,0.00029143594654232064
7,Bacteroides,0.0002498022398934177
8,Flavobacterium,0.00022898538656896623
9,Cutibacterium,0.00020816853324451476
10,Peptoniphilus,0.00018735167992006327
11,Fenollaria,0.00018735167992006327
12,Finegoldia,0.0001665348265956118
13,Mobiluncus,0.00010408426662225738
14,Faecalibacterium,0.00010408426662225738
15,Streptococcus,0.00010408426662225738
17,Alistipes,8.32674132978059e-05
18,Acidovorax,8.32674132978059e-05
19,Erysipelotrichaceae UCG-003,8.32674132978059e-05
20,[Eubacterium] siraeum group,8.32674132978059e-05
