,bacterium,abundance
0,Lactobacillus,0.995834220208593
1,Lacticaseibacillus,0.0025542007480159334
2,Prevotella,0.0006081430352418888
4,Streptococcus,0.0001520357588104722
5,Peptoniphilus,6.081430352418889e-05
6,Megasphaera,6.081430352418889e-05
7,Anaerococcus,6.081430352418889e-05
8,Haemophilus,3.0407151762094443e-05
9,Bergeyella,3.0407151762094443e-05
10,Flavobacterium,3.0407151762094443e-05
11,Dialister,3.0407151762094443e-05
12,Parvimonas,3.0407151762094443e-05
13,Limosilactobacillus,3.0407151762094443e-05
14,Escherichia-Shigella,3.0407151762094443e-05
15,Veillonella,3.0407151762094443e-05
16,Bacillus,3.0407151762094443e-05
