,bacterium,abundance
0,Lactobacillus,0.9947132980886539
1,Corynebacterium,0.0010392661877005106
2,Escherichia-Shigella,0.0007681532691699426
4,Limosilactobacillus,0.0007229677827481813
5,Methylobacterium-Methylorubrum,0.00031629840495232933
6,Anaerococcus,0.00031629840495232933
7,Prevotella,0.00022592743210880664
8,Staphylococcus,0.00022592743210880664
9,Streptococcus,0.00013555645926528398
10,Mycoplasma,0.00013555645926528398
11,Peptoniphilus,9.037097284352266e-05
12,Finegoldia,9.037097284352266e-05
13,Psychrobacter,4.518548642176133e-05
14,Veillonella,4.518548642176133e-05
15,Gemella,4.518548642176133e-05
16,Fusobacterium,4.518548642176133e-05
17,Ureaplasma,4.518548642176133e-05
18,Cellvibrio,4.518548642176133e-05
19,Alistipes,4.518548642176133e-05
