,bacterium,abundance
0,Lactobacillus,0.9946492129087738
1,Finegoldia,0.0008599479253756301
2,Limosilactobacillus,0.0006927358287748131
3,Prevotella,0.0006210735016601772
4,Peptoniphilus,0.00042997396268781504
5,Streptococcus,0.0004060865203162697
7,Anaerococcus,0.00026276186608699805
8,Facklamia,0.00026276186608699805
9,Corynebacterium,0.00021498698134390752
10,Flavobacterium,0.00016721209660081694
11,Prevotella_7,0.00014332465422927168
12,Dialister,0.00011943721185772639
13,Prevotella_9,9.554976948618112e-05
14,Cutibacterium,9.554976948618112e-05
15,Ureaplasma,9.554976948618112e-05
16,Peptostreptococcus,7.166232711463584e-05
17,Actinomyces,7.166232711463584e-05
18,Parvimonas,7.166232711463584e-05
19,Limnohabitans,4.777488474309056e-05
