,bacterium,abundance
0,Prevotella,0.35701859628074384
1,Lactobacillus,0.27261547690461907
3,Anaerococcus,0.10341931613677265
4,Atopobium,0.04391121775644871
5,Dialister,0.039412117576484704
6,Prevotella_7,0.03785242951409718
7,Peptoniphilus,0.009748050389922016
8,Peptostreptococcus,0.007678464307138573
9,Megasphaera,0.00614877024595081
10,Finegoldia,0.0027594481103779245
11,Gardnerella,0.00026994601079784045
12,Flavobacterium,0.0002399520095980804
13,Mobiluncus,0.0002399520095980804
14,Streptococcus,0.00020995800839832034
15,Actinomyces,0.0001199760047990402
16,Slackia,8.998200359928014e-05
17,Bacillus,5.99880023995201e-05
18,Kingella,5.99880023995201e-05
19,Cutibacterium,5.99880023995201e-05
