,bacterium,abundance
0,Lactobacillus,0.9765538150581101
1,Prevotella,0.010746168098366178
2,Finegoldia,0.0029476166414013814
3,Peptoniphilus,0.0025939026444332155
4,Dialister,0.0014990736061984166
6,Limosilactobacillus,0.0007916456122620852
7,Campylobacter,0.0005895233282802762
8,Anaerococcus,0.0005221492336196733
9,Ligilactobacillus,0.00025265285497726126
10,Atopobium,0.00021896580764695976
11,Faecalibacterium,0.000202122283981809
12,Fusobacterium,0.0001684352366515075
13,Streptococcus,0.00015159171298635674
14,Holdemanella,0.000134748189321206
15,Mobiluncus,0.000134748189321206
16,Flavobacterium,0.00011790466565605525
17,Ruminococcus,0.0001010611419909045
18,Bacteroides,0.0001010611419909045
19,Varibaculum,8.421761832575375e-05
