,bacterium,abundance
0,Lactobacillus,0.6143902670848779
1,Prevotella_7,0.2249469315337579
3,Prevotella,0.037829103697367174
4,Sneathia,0.0038336026359978457
5,Gemella,0.00332667997338656
6,Peptostreptococcus,0.003104901308494123
7,Ureaplasma,0.003009853309254507
8,Dialister,0.002819757310775275
9,Aerococcus,0.0013623546557678294
10,Atopobium,0.0012356239901150081
11,Granulicatella,0.0012356239901150081
12,Peptoniphilus,0.0008237493267433387
13,Anaerococcus,0.000380191996958464
14,Sutterella,0.0003485093305452587
15,Fusobacterium,0.00025346133130564266
16,Cutibacterium,0.00012673066565282133
17,Limosilactobacillus,0.00012673066565282133
18,Streptococcus,6.336533282641067e-05
19,Porphyromonas,3.168266641320533e-05
