,bacterium,abundance
0,Lactobacillus,0.9919844647357765
1,Escherichia-Shigella,0.00165268768334504
2,Prevotella,0.00123951576250878
4,Methylobacterium-Methylorubrum,0.0006610750733380159
5,Streptococcus,0.000454489112919886
6,Fretibacterium,0.00033053753666900795
7,Fusobacterium,0.00028922034458538196
8,Peptoniphilus,0.00028922034458538196
9,Erysipelotrichaceae UCG-003,0.00020658596041813
10,Bacteroides,0.00020658596041813
11,Coprococcus,0.00020658596041813
12,Tannerella,0.00012395157625087798
13,Anaerococcus,0.00012395157625087798
14,Finegoldia,0.00012395157625087798
15,Psychrobacter,8.263438416725199e-05
16,Paeniglutamicibacter,8.263438416725199e-05
17,Ureaplasma,8.263438416725199e-05
18,Treponema,8.263438416725199e-05
19,Faecalibacterium,8.263438416725199e-05
