,bacterium,abundance
0,Lactobacillus,0.9976536682088566
1,Ureaplasma,0.0011235955056179776
2,Prevotella,0.0002313284864507601
3,Corynebacterium,0.00016523463317911433
4,Flavobacterium,9.91407799074686e-05
5,Bacillus,9.91407799074686e-05
6,Finegoldia,9.91407799074686e-05
7,Pseudomonas,9.91407799074686e-05
8,Staphylococcus,6.609385327164574e-05
10,Anaerococcus,6.609385327164574e-05
11,Fusobacterium,3.304692663582287e-05
12,Parvimonas,3.304692663582287e-05
13,Limosilactobacillus,3.304692663582287e-05
14,Peptostreptococcus,3.304692663582287e-05
15,Streptococcus,3.304692663582287e-05
16,Cutibacterium,3.304692663582287e-05
17,Fluviicola,3.304692663582287e-05
