,bacterium,abundance
0,Lactobacillus,0.9880248731076003
1,Burkholderia-Caballeronia-Paraburkholderia,0.0032959064841466897
2,Prevotella,0.002307134538902683
3,Corynebacterium,0.002065434730065259
4,Escherichia-Shigella,0.0009008811056667619
5,Veillonella,0.0007690448463008943
7,Cutibacterium,0.0004614269077805366
8,Staphylococcus,0.00041748148799191406
9,Streptococcus,0.00032959064841466896
10,Rickettsiella,0.0003076179385203577
11,Stenotrophomonas,0.00010986354947155632
12,Ralstonia,8.789083957724506e-05
13,Granulicatella,8.789083957724506e-05
14,Megasphaera,6.59181296829338e-05
15,Ureaplasma,6.59181296829338e-05
16,Tepidimonas,4.394541978862253e-05
17,Anaerococcus,4.394541978862253e-05
18,Bacillus,4.394541978862253e-05
19,Lacticaseibacillus,2.1972709894311265e-05
