,bacterium,abundance
0,Lactobacillus,0.997604291443154
1,Limosilactobacillus,0.0009374511744179991
2,Corynebacterium,0.0003124837248059997
4,Finegoldia,0.0002083224832039998
5,Thermomonas,0.0001041612416019999
6,Ureaplasma,0.0001041612416019999
7,Prevotella,5.208062080099995e-05
8,Fastidiosipila,5.208062080099995e-05
9,Anaerococcus,5.208062080099995e-05
10,Methylobacterium-Methylorubrum,5.208062080099995e-05
11,Psychrobacter,5.208062080099995e-05
12,Atopobium,5.208062080099995e-05
13,Streptococcus,5.208062080099995e-05
14,Bacillus,5.208062080099995e-05
